CoinMarketCap,Name,Symbol,CoinGecko,Name,Price 2015-01-04,Price2021-06-30,Return,Dead?,symbol,symbolconsis?,Rank - Return,Max Overall Return,Rank - Overall Max,Max Monthly Return,Rank - Monthly Max,adjusted e-value,pass 5% threshold?,pass 10% threshold?,p-value (Overall Max),p-value (Monthly Max),,,
,ArtByte,ABY,,ArtByte,0.00007045272,0.000360461,5.116353208,0,aby,1,75,662.7964681,46,334.6815887,45,0.7736421182,FALSE,FALSE,0.01626835569,0.03293345853,0.2044040109,FALSE,FALSE
,MAZA,MAZA,,MAZA,0.00007291437833,0.00036435,4.996956819,0,mzc,0,76,100.6065844,87,66.10733882,81,0.7656627384,FALSE,FALSE,0.0566677565,0.09262900155,0.5749089311,FALSE,FALSE
,Titcoin,TIT,,Titcoin,0.0008736101671,0.004185435,4.79096416,0,tit,1,77,79.11596708,90,24.75807282,101,0.743758549,FALSE,FALSE,0.06965864559,0.1983551436,1.231106259,FALSE,FALSE
,WorldCoin,WDC,,WorldCoin,0.006422958553,0.027065599,4.21388349,0,wdc,1,78,36.81739585,106,30.77651811,96,0.6626671617,FALSE,FALSE,0.1270933257,0.1678769069,1.041940769,FALSE,FALSE
,BitShares,BTS,,BitShares,0.01372631212,0.045112819,3.286594288,0,bts,1,79,67.31022841,92,50.06244073,88,0.5234696548,FALSE,FALSE,0.08009636091,0.1125866728,0.6987777333,FALSE,FALSE
,Freicoin,FRC,,Freicoin,0.001721615259,0.00563388,3.272438467,0,frc,1,80,14.89729179,122,12.98826974,116,0.527812656,FALSE,FALSE,0.2729069034,0.3292095218,2.043263893,FALSE,FALSE
,OctoCoin,888,,OctoCoin,0.000579612,0.001864223,3.2163292,0,888,1,81,55.33270533,96,27.57085775,100,0.5252473088,FALSE,FALSE,0.09337455373,0.1799000976,1.116563615,FALSE,FALSE
,VPNCoin,VASH,,VPNCoin,0.000342359,0.000960504,2.805546225,0,vash,1,82,66.67048624,93,36.74429181,93,0.463820142,FALSE,FALSE,0.07999541677,0.1451472615,0.9008674993,FALSE,FALSE
,BlackCoin,BLK,,BlackCoin,0.02313257695,0.060931708,2.634021628,0,blk,1,83,49.62958666,99,38.87337991,92,0.4407737805,FALSE,FALSE,0.1009498839,0.1386888498,0.8607828765,FALSE,FALSE
,Riecoin,RIC,,Riecoin,0.0057857,0.014337016,2.478008884,0,ric,1,84,98.37881726,89,59.75822511,83,0.4196627949,FALSE,FALSE,0.05664871629,0.1000013572,0.6206660162,FALSE,FALSE
,Namecoin,NMC,,Namecoin,0.5655173566,1.379535702,2.43942239,0,nmc,1,85,13.27822164,123,7.374083169,123,0.4180461758,FALSE,FALSE,0.3036943074,0.5468503993,3.394068524,FALSE,FALSE
,Feathercoin,FTC,,Feathercoin,0.01292864587,0.028834259,2.230261335,0,ftc,1,86,49.18034147,100,31.87839044,95,0.3866985379,FALSE,FALSE,0.1008533054,0.1637803089,1.016514922,FALSE,FALSE
,Peercoin,PPC,,Peercoin,0.4598064801,1.013397896,2.203966103,0,ppc,1,87,20.55138351,119,10.39736049,119,0.386582764,FALSE,FALSE,0.2028120017,0.4008774374,2.488076252,FALSE,FALSE
,Quark,QRK,,Quark,0.004359153565,0.00928383,2.129732266,0,qrk,1,88,24.74815067,115,24.74815067,102,0.3778557246,FALSE,FALSE,0.174277405,0.1964892311,1.219525332,FALSE,FALSE
,Terracoin,TRC,,Terracoin,0.01341786582,0.025225806,1.880016266,0,trc,1,89,33.47506973,109,19.81335929,109,0.3373416284,FALSE,FALSE,0.1359357502,0.2296661888,1.425440638,FALSE,FALSE
,Primecoin,XPM,,Primecoin,0.07378003858,0.136053855,1.844046948,0,xpm,1,90,53.84125467,98,33.09638421,94,0.3346052931,FALSE,FALSE,0.09400272191,0.1594311847,0.989521753,FALSE,FALSE
,FlutterCoin,FLT,,FlutterCoin,0.0002083849153,0.000359059,1.723056582,0,flt,1,91,118.8458862,82,66.12328143,80,0.3161253004,FALSE,FALSE,0.05089600221,0.09376425166,0.5819549471,FALSE,FALSE
,Anoncoin,ANC,,Anoncoin,0.1536308104,0.253472939,1.649883498,0,anc,1,92,41.02302136,101,20.50298374,108,0.3060267779,FALSE,FALSE,0.1197106143,0.2239963046,1.390250072,FALSE,FALSE
,Omni,OMNI,,Omni,2.118186491,3.035169579,1.432909516,0,omni,1,93,54.72794794,97,45.1628317,90,0.2686705342,FALSE,FALSE,0.09343310419,0.1220275812,0.7573734477,FALSE,FALSE
,Digitalcoin,DGC,,Digitalcoin,0.008171967657,0.011565584,1.415275303,0,dgc,1,94,18.82890719,121,10.34903796,120,0.2682174969,FALSE,FALSE,0.2177063976,0.3993930017,2.478862989,FALSE,FALSE
,Ixcoin,IXC,,Ixcoin,0.02217944234,0.030741131,1.386019113,0,ixc,1,95,37.06590094,105,13.9184365,114,0.2654673704,FALSE,FALSE,0.1274435372,0.312598128,1.940164016,FALSE,FALSE
,NetCoin,NET,,NetCoin,0.000157637986,0.000209981,1.332045691,0,net,1,96,826704.2211,1,7612.377726,7,0.2578152951,FALSE,FALSE,0.000599972744,0.009308148571,0.05777173085,FALSE,TRUE
,Magi,XMG,,Magi,0.01898245352,0.025026644,1.318409339,0,xmg,1,97,204.1289167,67,72.85936639,75,0.2578340844,FALSE,FALSE,0.03626622427,0.09076847166,0.5633614111,FALSE,FALSE
,Acoin,ACOIN,,Acoin,0.0108810312,0.012784886,1.174970071,0,acoin,1,98,40.66774555,102,17.34357709,111,0.2321513446,FALSE,FALSE,0.1195725269,0.2576439938,1.599087009,FALSE,FALSE
,Maxcoin,MAX,,Maxcoin,0.004941265993,0.005780204,1.169781997,0,max,1,99,191.5971719,71,30.07741255,98,0.2334847131,FALSE,FALSE,0.03646147501,0.1682732676,1.044400812,FALSE,FALSE
,CacheCoin,CACH,,CacheCoin,0.00068887104,0.000804025,1.167163305,0,cach,1,100,430.417306,52,353.9879019,43,0.2353151825,FALSE,FALSE,0.02216096194,0.03258553091,0.2022445717,FALSE,FALSE
